code; lat; lon; altitude
UTAR; 18 29 26.30512; 70 17 47.39942; 87.761 
MCLA; 22 44 44.93516; 70 14 50.98930; 1033.372  
VALN; 33 01 40.54184; 71 388 06.08933; 119.217 
JRGN; 23 17 20.10072; 70 34 29.68986; 327.861
TRPD; 33 01 22.12362; 71 38 50.88215; 62.273
QTAY; 33 11 33.80632; 71 42 08.07535; 39.885
CRSC; 20 55 03.62638; 70 04 47.21215; 1517.984 
PFRJ; 30 40 29.08738; 71 38 07.54399; 211.693
CCSN; 33 27 47.42983; 70 39 50.56223; 562.6
AEDA; 20 32 46.35409; 70 10 39.56625; 90.228
PAZU; 26 08 52.47634; 70 35 55.25952; 378.995
